"Table S3: The table provides the IMPPAT Phytochemical identifier, Chemical name, SMILES, InChI and QEDw score for the 1335 drug-like phytochemicals in IMPPAT 2.0 identified in this study.",,,,
IMPPAT Phytochemical identifier,Chemical name,SMILES,InChI,QEDw
IMPHY009427,"1,4,5-Trihydroxy-2-methoxy-7-methylanthracene-9,10-dione",COc1cc(O)c2c(c1O)C(=O)c1c(C2=O)c(O)cc(c1)C,"InChI=1S/C16H12O6/c1-6-3-7-11(8(17)4-6)16(21)12-9(18)5-10(22-2)15(20)13(12)14(7)19/h3-5,17-18,20H,1-2H3",0.5929
IMPHY001807,Oxomatairesinol,COc1cc(ccc1O)C[C@H]1C(=O)OC[C@@H]1C(=O)c1ccc(c(c1)OC)O,"InChI=1S/C20H20O7/c1-25-17-8-11(3-5-15(17)21)7-13-14(10-27-20(13)24)19(23)12-4-6-16(22)18(9-12)26-2/h3-6,8-9,13-14,21-22H,7,10H2,1-2H3/t13-,14+/m1/s1",0.5925
IMPHY010045,"3,8-Dihydroxy-6-methyl-9-oxo-9H-xanthene-1-carboxylic acid",Oc1cc2oc3cc(C)cc(c3c(=O)c2c(c1)C(=O)O)O,"InChI=1S/C15H10O6/c1-6-2-9(17)13-10(3-6)21-11-5-7(16)4-8(15(19)20)12(11)14(13)18/h2-5,16-17H,1H3,(H,19,20)",0.5925
IMPHY004112,Fustin,Oc1ccc2c(c1)O[C@@H]([C@H](C2=O)O)c1ccc(c(c1)O)O,"InChI=1S/C15H12O6/c16-8-2-3-9-12(6-8)21-15(14(20)13(9)19)7-1-4-10(17)11(18)5-7/h1-6,14-18,20H/t14-,15+/m0/s1",0.5921
IMPHY010137,"(1S,4S,5S,6R,9R,10R,12R,14R)-4,5,6-trihydroxy-3,7,11,11,14-pentamethyltetracyclo[7.5.1.01,5.010,12]pentadeca-2,7-dien-15-one",CC1=C[C@@H]2[C@H]3[C@H](C3(C)C)C[C@H]([C@]3([C@@]([C@@H]1O)(O)[C@@H](O)C(=C3)C)C2=O)C,"InChI=1S/C20H28O4/c1-9-6-12-14-13(18(14,4)5)7-11(3)19(17(12)23)8-10(2)16(22)20(19,24)15(9)21/h6,8,11-16,21-22,24H,7H2,1-5H3/t11-,12-,13-,14+,15-,16+,19?,20+/m1/s1",0.5917
IMPHY003698,Fibraurin,O=C1O[C@H](C[C@@]2(C1=CC[C@@]1([C@H]2[C@@H]2OC(=O)[C@@]1(O)[C@@H]1[C@H]2O1)C)C)c1cocc1,"InChI=1S/C20H20O7/c1-18-7-11(9-4-6-24-8-9)25-16(21)10(18)3-5-19(2)14(18)12-13-15(26-13)20(19,23)17(22)27-12/h3-4,6,8,11-15,23H,5,7H2,1-2H3/t11-,12-,13+,14+,15+,18-,19-,20+/m1/s1",0.5912
IMPHY003708,Fibralactone,O=C1O[C@H](C[C@@]2(C1=CC[C@@]1([C@H]2[C@H]2OC(=O)[C@]1(O)[C@@H]1[C@H]2O1)C)C)c1cocc1,"InChI=1S/C20H20O7/c1-18-7-11(9-4-6-24-8-9)25-16(21)10(18)3-5-19(2)14(18)12-13-15(26-13)20(19,23)17(22)27-12/h3-4,6,8,11-15,23H,5,7H2,1-2H3/t11-,12+,13+,14+,15+,18-,19-,20-/m1/s1",0.5912
IMPHY004900,"3',4',7-Trihydroxyisoflavone",Oc1ccc2c(c1)occ(c2=O)c1ccc(c(c1)O)O,"InChI=1S/C15H10O5/c16-9-2-3-10-14(6-9)20-7-11(15(10)19)8-1-4-12(17)13(18)5-8/h1-7,16-18H",0.5911
IMPHY004939,"7,3',4'-Trihydroxyflavone",Oc1ccc2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,"InChI=1S/C15H10O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-7,16-17,19H",0.5911
IMPHY004943,Thunberginol A,Oc1cc(ccc1O)c1cc2cccc(c2c(=O)o1)O,"InChI=1S/C15H10O5/c16-10-5-4-8(6-12(10)18)13-7-9-2-1-3-11(17)14(9)15(19)20-13/h1-7,16-18H",0.5911
IMPHY005607,Baicalein,Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccccc1,"InChI=1S/C15H10O5/c16-9-6-11(8-4-2-1-3-5-8)20-12-7-10(17)14(18)15(19)13(9)12/h1-7,17-19H",0.5911
IMPHY000892,Centratherin,C/C=C(\C(=O)O[C@H]1C[C@@]2(C)OC(=CC2=O)/C(=C\[C@@H]2[C@@H]1C(=C)C(=O)O2)/CO)/C,"InChI=1S/C20H22O7/c1-5-10(2)18(23)26-15-8-20(4)16(22)7-13(27-20)12(9-21)6-14-17(15)11(3)19(24)25-14/h5-7,14-15,17,21H,3,8-9H2,1-2,4H3/b10-5-,12-6-/t14-,15+,17+,20-/m1/s1",0.5906
IMPHY011650,Chasmanthin,O=C1O[C@H](C[C@@]2([C@H]1CC[C@@]1([C@H]2[C@@H]2OC(=O)[C@@]1(O)[C@@H]1[C@H]2O1)C)C)c1cocc1,"InChI=1S/C20H22O7/c1-18-7-11(9-4-6-24-8-9)25-16(21)10(18)3-5-19(2)14(18)12-13-15(26-13)20(19,23)17(22)27-12/h4,6,8,10-15,23H,3,5,7H2,1-2H3/t10-,11+,12+,13-,14-,15-,18+,19+,20-/m0/s1",0.5905
IMPHY011664,Jateorin,O=C1O[C@@H](C[C@@]2([C@H]1CC[C@@]1([C@H]2[C@@H]2OC(=O)[C@@]1(O)[C@@H]1[C@H]2O1)C)C)c1cocc1,"InChI=1S/C20H22O7/c1-18-7-11(9-4-6-24-8-9)25-16(21)10(18)3-5-19(2)14(18)12-13-15(26-13)20(19,23)17(22)27-12/h4,6,8,10-15,23H,3,5,7H2,1-2H3/t10-,11-,12+,13-,14-,15-,18+,19+,20-/m0/s1",0.5905
IMPHY011716,Palmarin,O=C1O[C@H](C[C@@]2([C@@H]1CC[C@@]1([C@H]2[C@@H]2OC(=O)[C@@]1(O)[C@@H]1[C@H]2O1)C)C)c1cocc1,"InChI=1S/C20H22O7/c1-18-7-11(9-4-6-24-8-9)25-16(21)10(18)3-5-19(2)14(18)12-13-15(26-13)20(19,23)17(22)27-12/h4,6,8,10-15,23H,3,5,7H2,1-2H3/t10-,11-,12-,13+,14+,15+,18-,19-,20+/m1/s1",0.5905
IMPHY008993,boeravinone B,OC1Oc2ccccc2-c2c1oc1cc(O)c(c(c1c2=O)O)C,"InChI=1S/C17H12O6/c1-7-9(18)6-11-13(14(7)19)15(20)12-8-4-2-3-5-10(8)23-17(21)16(12)22-11/h2-6,17-19,21H,1H3",0.5897
IMPHY010169,"(1S,8'R)-6-methoxy-2-methyl-2-oxidospiro[3,4-dihydroisoquinolin-2-ium-1,7'-6,8-dihydrocyclopenta[g][1,3]benzodioxole]-7,8'-diol",COc1cc2CC[N+]([C@]3(c2cc1O)Cc1c([C@H]3O)c2OCOc2cc1)([O-])C,"InChI=1S/C20H21NO6/c1-21(24)6-5-11-7-16(25-2)14(22)8-13(11)20(21)9-12-3-4-15-18(27-10-26-15)17(12)19(20)23/h3-4,7-8,19,22-23H,5-6,9-10H2,1-2H3/t19-,20+,21?/m1/s1",0.5894
IMPHY004699,Cyanomaclurin,Oc1ccc2c(c1)O[C@@H]1C([C@@H]2Oc2c1c(O)cc(c2)O)O,"InChI=1S/C15H12O6/c16-6-1-2-8-10(4-6)20-15-12-9(18)3-7(17)5-11(12)21-14(8)13(15)19/h1-5,13-19H/t13?,14-,15+/m1/s1",0.589
IMPHY013262,Cropodine,O=C1OC2CCN3C2C(CC3)COC(=O)C(C(C1C)(C)O)(C)O,"InChI=1S/C16H25NO6/c1-9-13(18)23-11-5-7-17-6-4-10(12(11)17)8-22-14(19)16(3,21)15(9,2)20/h9-12,20-21H,4-8H2,1-3H3",0.589
IMPHY002981,Horhammerinine,COc1ccc2c(c1)NC1=C(CC3(C4C21CCN4CC1C3O1)C(O)C)C(=O)OC,"InChI=1S/C22H26N2O5/c1-11(25)22-9-13(19(26)28-3)17-21(14-5-4-12(27-2)8-15(14)23-17)6-7-24(20(21)22)10-16-18(22)29-16/h4-5,8,11,16,18,20,23,25H,6-7,9-10H2,1-3H3",0.5884
IMPHY010467,"(1S,5R,6R,7S,11R,13S,17S,18S,19R)-5,17-dihydroxy-6,14,18-trimethyl-3,10-dioxapentacyclo[9.8.0.01,7.05,19.013,18]nonadec-14-ene-4,9,16-trione",O=C1O[C@@H]2C[C@H]3C(=CC(=O)[C@H]([C@@]3([C@@H]3[C@@]42[C@@H](C1)[C@@H](C)[C@]3(O)C(=O)OC4)C)O)C,"InChI=1S/C20H24O7/c1-8-4-12(21)15(23)18(3)10(8)5-13-19-7-26-17(24)20(25,16(18)19)9(2)11(19)6-14(22)27-13/h4,9-11,13,15-16,23,25H,5-7H2,1-3H3/t9-,10+,11+,13-,15-,16-,18-,19-,20-/m1/s1",0.588
IMPHY009124,Saussureamine D,O=C1O[C@H]2[C@H]([C@@H]1CN1CCC[C@H]1C(=O)O)CC[C@@]1([C@@H]2C(=CC[C@H]1O)C)C,"InChI=1S/C20H29NO5/c1-11-5-6-15(22)20(2)8-7-12-13(19(25)26-17(12)16(11)20)10-21-9-3-4-14(21)18(23)24/h5,12-17,22H,3-4,6-10H2,1-2H3,(H,23,24)/t12-,13-,14-,15+,16+,17-,20-/m0/s1",0.5875
IMPHY002549,BR-Xanthone B,COc1c(O)cc(c2c1c(=O)c1c(o2)c(O)ccc1)O,"InChI=1S/C14H10O6/c1-19-13-8(16)5-9(17)14-10(13)11(18)6-3-2-4-7(15)12(6)20-14/h2-5,15-17H,1H3",0.5872
IMPHY004938,"1,3,8-Trihydroxy-5-methoxy-xanthen-9-one",COc1ccc(c2c1oc1cc(O)cc(c1c2=O)O)O,"InChI=1S/C14H10O6/c1-19-9-3-2-7(16)12-13(18)11-8(17)4-6(15)5-10(11)20-14(9)12/h2-5,15-17H,1H3",0.5872
IMPHY012864,"1,3,5-Trihydroxy-6-methoxyxanthone",COc1ccc2c(c1O)oc1c(c2=O)c(O)cc(c1)O,"InChI=1S/C14H10O6/c1-19-9-3-2-7-12(17)11-8(16)4-6(15)5-10(11)20-14(7)13(9)18/h2-5,15-16,18H,1H3",0.5872
IMPHY012885,"1,3,6-Trihydroxy-5-methoxyxanthone",COc1c(O)ccc2c1oc1cc(O)cc(c1c2=O)O,"InChI=1S/C14H10O6/c1-19-14-8(16)3-2-7-12(18)11-9(17)4-6(15)5-10(11)20-13(7)14/h2-5,15-17H,1H3",0.5872
IMPHY013244,"1,3,8-Trihydroxy-7-methoxyxanthone",COc1ccc2c(c1O)c(=O)c1c(o2)cc(cc1O)O,"InChI=1S/C14H10O6/c1-19-9-3-2-8-12(13(9)17)14(18)11-7(16)4-6(15)5-10(11)20-8/h2-5,15-17H,1H3",0.5872
IMPHY014386,"(1R,4S,5R,9R,10S,11S,13S,14S)-11,14-dihydroxy-14-(hydroxymethyl)-5,9-dimethyl-15-oxotetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",OC[C@@]1(O)[C@@H]2C[C@@H]([C@@H]3[C@](C1=O)(C2)CC[C@H]1[C@@]3(C)CCC[C@@]1(C)C(=O)O)O,"InChI=1S/C20H30O6/c1-17-5-3-6-18(2,16(24)25)13(17)4-7-19-9-11(8-12(22)14(17)19)20(26,10-21)15(19)23/h11-14,21-22,26H,3-10H2,1-2H3,(H,24,25)/t11-,12+,13+,14+,17-,18-,19-,20-/m1/s1",0.5865
IMPHY007364,Neophaseic acid,[O-]C(=O)/C=C(\C=C\[C@]1(O)[C@]2(C)COC1(C)CC(=O)C2)/C,"InChI=1S/C15H20O5/c1-10(6-12(17)18)4-5-15(19)13(2)7-11(16)8-14(15,3)20-9-13/h4-6,19H,7-9H2,1-3H3,(H,17,18)/p-1/b5-4+,10-6-/t13-,14?,15-/m0/s1",0.5858
IMPHY013661,Desoxyshikonin,CC(=CC[C@H](C1CC(=O)c2c(C1)c(O)ccc2O)O)C,"InChI=1S/C16H20O4/c1-9(2)3-4-12(17)10-7-11-13(18)5-6-14(19)16(11)15(20)8-10/h3,5-6,10,12,17-19H,4,7-8H2,1-2H3/t10?,12-/m1/s1",0.5854
IMPHY008926,Zeylanicine,CC(=O)OC1c2occ(c2C2OC(=O)C(=C2)CCC2[C@]1(C)O2)C,"InChI=1S/C17H18O6/c1-8-7-20-14-13(8)11-6-10(16(19)22-11)4-5-12-17(3,23-12)15(14)21-9(2)18/h6-7,11-12,15H,4-5H2,1-3H3/t11?,12?,15?,17-/m0/s1",0.585
IMPHY003697,Alkannin,CC(=CC[C@@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C,"InChI=1S/C16H16O5/c1-8(2)3-4-10(17)9-7-13(20)14-11(18)5-6-12(19)15(14)16(9)21/h3,5-7,10,17-19H,4H2,1-2H3/t10-/m0/s1",0.5847
IMPHY003978,Shikonin,CC(=CC[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C,"InChI=1S/C16H16O5/c1-8(2)3-4-10(17)9-7-13(20)14-11(18)5-6-12(19)15(14)16(9)21/h3,5-7,10,17-19H,4H2,1-2H3/t10-/m1/s1",0.5847
IMPHY015069,C.I. Natural Red 20,CC(=CCC(C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C,"InChI=1S/C16H16O5/c1-8(2)3-4-10(17)9-7-13(20)14-11(18)5-6-12(19)15(14)16(9)21/h3,5-7,10,17-19H,4H2,1-2H3",0.5847
IMPHY013729,Miraxanthin-III,Oc1ccc(cc1)CC/N=C/C=C/1\CC(NC(=C1)C(=O)O)C(=O)O,"InChI=1S/C17H18N2O5/c20-13-3-1-11(2-4-13)5-7-18-8-6-12-9-14(16(21)22)19-15(10-12)17(23)24/h1-4,6,8-9,15,19-20H,5,7,10H2,(H,21,22)(H,23,24)/b12-6-,18-8+",0.5846
IMPHY004667,"3-(2,4-Dihydroxyphenyl)-1-(4-hydroxyphenyl)prop-2-en-1-one",Oc1ccc(cc1)C(=O)C=Cc1ccc(cc1O)O,"InChI=1S/C15H12O4/c16-12-5-1-10(2-6-12)14(18)8-4-11-3-7-13(17)9-15(11)19/h1-9,16-17,19H",0.5825
IMPHY006489,Isoliquiritigenin,Oc1ccc(cc1)/C=C/C(=O)c1ccc(cc1O)O,"InChI=1S/C15H12O4/c16-11-4-1-10(2-5-11)3-8-14(18)13-7-6-12(17)9-15(13)19/h1-9,16-17,19H/b8-3+",0.5825
IMPHY012952,Pinocembrin chalcone,Oc1cc(O)c(c(c1)O)C(=O)/C=C/c1ccccc1,"InChI=1S/C15H12O4/c16-11-8-13(18)15(14(19)9-11)12(17)7-6-10-4-2-1-3-5-10/h1-9,16,18-19H/b7-6+",0.5825
IMPHY007526,Leptosidin,COc1c(O)ccc2c1O/C(=C\c1ccc(c(c1)O)O)/C2=O,"InChI=1S/C16H12O6/c1-21-16-11(18)5-3-9-14(20)13(22-15(9)16)7-8-2-4-10(17)12(19)6-8/h2-7,17-19H,1H3/b13-7-",0.582
IMPHY008881,"Kaempferol-3,4'-o-dimethylether",COCc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(cc1)O)O,"InChI=1S/C17H14O7/c1-23-7-10-11(19)6-12-13(14(10)20)15(21)16(22)17(24-12)8-2-4-9(18)5-3-8/h2-6,18-20,22H,7H2,1H3",0.5818
IMPHY009227,Sesebrinol,COc1cc(OCC=C(C)C)c2c(c1CC(C(O)(C)C)O)oc(=O)cc2,"InChI=1S/C20H26O6/c1-12(2)8-9-25-16-11-15(24-5)14(10-17(21)20(3,4)23)19-13(16)6-7-18(22)26-19/h6-8,11,17,21,23H,9-10H2,1-5H3",0.5815
IMPHY000186,Salvileucantholide,O=C1OC[C@H]2C1=C[C@@H]1O[C@@H]1c1c2cc2C(=O)O[C@H](c2c1C)c1cocc1,"InChI=1S/C20H14O6/c1-8-15-10(13-7-24-19(21)11(13)5-14-18(15)25-14)4-12-16(8)17(26-20(12)22)9-2-3-23-6-9/h2-6,13-14,17-18H,7H2,1H3/t13-,14+,17+,18+/m1/s1",0.5813
IMPHY000836,"1,4,7-Trihydroxy-5-methoxyfluoren-9-one",COc1cc(O)cc2c1-c1c(O)ccc(c1C2=O)O,"InChI=1S/C14H10O5/c1-19-10-5-6(15)4-7-11(10)12-8(16)2-3-9(17)13(12)14(7)18/h2-5,15-17H,1H3",0.5812
IMPHY009930,"1,4-Dihydroxy-2-(hydroxymethyl)anthracene-9,10-dione",OCc1cc(O)c2c(c1O)C(=O)c1c(C2=O)cccc1,"InChI=1S/C15H10O5/c16-6-7-5-10(17)11-12(13(7)18)15(20)9-4-2-1-3-8(9)14(11)19/h1-5,16-18H,6H2",0.5803
IMPHY002868,"1,3,8-Trihydroxy-2-methylanthracene-9,10-dione",Oc1cccc2c1C(=O)c1c(C2=O)cc(c(c1O)C)O,"InChI=1S/C15H10O5/c1-6-10(17)5-8-12(13(6)18)15(20)11-7(14(8)19)3-2-4-9(11)16/h2-5,16-18H,1H3",0.5795
IMPHY004482,"1,3,6-Trihydroxy-2-methylanthracene-9,10-dione",Oc1ccc2c(c1)C(=O)c1c(C2=O)c(O)c(c(c1)O)C,"InChI=1S/C15H10O5/c1-6-11(17)5-10-12(13(6)18)15(20)8-3-2-7(16)4-9(8)14(10)19/h2-5,16-18H,1H3",0.5795
IMPHY009391,"1,3,6-Trihydroxy-8-methylanthraquinone",Oc1cc(C)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,"InChI=1S/C15H10O5/c1-6-2-7(16)3-9-12(6)15(20)13-10(14(9)19)4-8(17)5-11(13)18/h2-5,16-18H,1H3",0.5795
IMPHY011543,Emodin,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3",0.5795
IMPHY000595,14-Deoxy-12-methoxyandrographolide,COC(C1=CCOC1=O)C[C@@H]1C(=C)CCC2[C@@]1(C)CC[C@H]([C@@]2(C)CO)O,"InChI=1S/C21H32O5/c1-13-5-6-17-20(2,9-7-18(23)21(17,3)12-22)15(13)11-16(25-4)14-8-10-26-19(14)24/h8,15-18,22-23H,1,5-7,9-12H2,2-4H3/t15-,16?,17?,18-,20+,21+/m1/s1",0.5793
IMPHY009619,Heterophyllidine,CCN1C[C@]2(C)CC[C@@H]([C@]34[C@H]1[C@H]([C@H]([C@H]23)O)[C@@]1(O)CCC2C[C@@H]4[C@@H]1C(=O)O2)O,"InChI=1S/C21H31NO5/c1-3-22-9-19(2)6-5-12(23)21-11-8-10-4-7-20(26,13(11)18(25)27-10)14(17(21)22)15(24)16(19)21/h10-17,23-24,26H,3-9H2,1-2H3/t10?,11-,12+,13-,14+,15-,16-,17?,19+,20-,21+/m1/s1",0.5778
IMPHY006808,Longikaurin A,C=C1[C@@H]2CC[C@@H]3[C@](C1=O)([C@@H]2O)[C@]1(O)OC[C@@]23CCCC([C@H]2[C@@H]1O)(C)C,"InChI=1S/C20H28O5/c1-10-11-5-6-12-18-8-4-7-17(2,3)13(18)16(23)20(24,25-9-18)19(12,14(10)21)15(11)22/h11-13,15-16,22-24H,1,4-9H2,2-3H3/t11-,12-,13+,15+,16-,18+,19-,20+/m0/s1",0.5763
IMPHY001977,Emodin anthrone,Cc1cc2Cc3cc(O)cc(c3C(=O)c2c(c1)O)O,"InChI=1S/C15H12O4/c1-7-2-8-4-9-5-10(16)6-12(18)14(9)15(19)13(8)11(17)3-7/h2-3,5-6,16-18H,4H2,1H3",0.5762
IMPHY014650,p-Coumaroyl-d-threonine,O=C(N[C@@H](C(=O)O)[C@@H](O)C)/C=C/c1ccc(cc1)O,"InChI=1S/C13H15NO5/c1-8(15)12(13(18)19)14-11(17)7-4-9-2-5-10(16)6-3-9/h2-8,12,15-16H,1H3,(H,14,17)(H,18,19)/b7-4+/t8-,12+/m0/s1",0.5748
IMPHY000346,Samaderine B,O=C1C=C(C)[C@H]2[C@@]([C@@H]1O)(C)[C@H]1[C@@H](O)[C@@H]3OC(=O)[C@@H]4[C@@]1(C(=O)C2)CO[C@]34C,"InChI=1S/C19H22O7/c1-7-4-9(20)14(23)17(2)8(7)5-10(21)19-6-25-18(3)13(19)16(24)26-15(18)11(22)12(17)19/h4,8,11-15,22-23H,5-6H2,1-3H3/t8-,11+,12+,13-,14+,15-,17-,18-,19+/m0/s1",0.5733
IMPHY002765,Tenacigenin A,O[C@H]1CC[C@]2([C@H](C1)CC[C@@]13[C@@H]2[C@@H]2O[C@@](O1)(C)[C@H]1[C@@]([C@@H]2O)([C@]3(O)CC1)C)C,"InChI=1S/C21H32O5/c1-17-7-5-12(22)10-11(17)4-8-20-15(17)14-16(23)18(2)13(6-9-21(18,20)24)19(3,25-14)26-20/h11-16,22-24H,4-10H2,1-3H3/t11-,12-,13+,14-,15+,16+,17-,18-,19+,20-,21+/m0/s1",0.5729
IMPHY008795,Pulchelloid C,C/C=C(\C(=O)O[C@@H]1C[C@@H]([C@@H]2[C@]1(C)[C@@H](O)[C@H]1[C@H](C[C@H]2C)OC(=O)C1=C)O)/C,"InChI=1S/C20H28O6/c1-6-9(2)18(23)26-14-8-12(21)16-10(3)7-13-15(11(4)19(24)25-13)17(22)20(14,16)5/h6,10,12-17,21-22H,4,7-8H2,1-3,5H3/b9-6-/t10-,12+,13+,14-,15-,16-,17+,20-/m1/s1",0.5728
IMPHY015429,"6-Aminobenzo[g]quinoxaline-5,10-dione",Nc1cccc2c1C(=O)c1nccnc1C2=O,"InChI=1S/C12H7N3O2/c13-7-3-1-2-6-8(7)12(17)10-9(11(6)16)14-4-5-15-10/h1-5H,13H2",0.5726
IMPHY014256,"1,3,4-Pentanetricarboxylic acid",OC(=O)CCC(C(C(=O)O)C)C(=O)O,"InChI=1S/C8H12O6/c1-4(7(11)12)5(8(13)14)2-3-6(9)10/h4-5H,2-3H2,1H3,(H,9,10)(H,11,12)(H,13,14)",0.5722
IMPHY005361,Pteroside Z,OC[C@H]1O[C@@H](OCCc2c(C)cc3c(c2C)C(=O)C(C3)(C)C)[C@@H]([C@H]([C@@H]1O)O)O,"InChI=1S/C21H30O7/c1-10-7-12-8-21(3,4)19(26)15(12)11(2)13(10)5-6-27-20-18(25)17(24)16(23)14(9-22)28-20/h7,14,16-18,20,22-25H,5-6,8-9H2,1-4H3/t14-,16-,17+,18-,20-/m1/s1",0.5721
IMPHY005476,Tamarixetin,COc1ccc(cc1O)c1oc2cc(O)cc(c2c(=O)c1O)O,"InChI=1S/C16H12O7/c1-22-11-3-2-7(4-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3",0.5721
IMPHY005907,6-Methoxykaempferol,COc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(cc1)O)O,"InChI=1S/C16H12O7/c1-22-16-9(18)6-10-11(13(16)20)12(19)14(21)15(23-10)7-2-4-8(17)5-3-7/h2-6,17-18,20-21H,1H3",0.5721
IMPHY006140,"4H-1-Benzopyran-4-one, 3-(3,5-dihydroxy-4-methoxyphenyl)-5,7-dihydroxy-",COc1c(O)cc(cc1O)c1coc2c(c1=O)c(O)cc(c2)O,"InChI=1S/C16H12O7/c1-22-16-11(19)2-7(3-12(16)20)9-6-23-13-5-8(17)4-10(18)14(13)15(9)21/h2-6,17-20H,1H3",0.5721
IMPHY008724,Isorhamnetin,COc1cc(ccc1O)c1oc2cc(O)cc(c2c(=O)c1O)O,"InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3",0.5721
IMPHY009143,Sexangularetin,COc1c(O)cc(c2c1oc(c1ccc(cc1)O)c(c2=O)O)O,"InChI=1S/C16H12O7/c1-22-15-10(19)6-9(18)11-12(20)13(21)14(23-16(11)15)7-2-4-8(17)5-3-7/h2-6,17-19,21H,1H3",0.5721
IMPHY012882,Milimorin,COc1ccc(c(c1)O)c1oc2cc(O)cc(c2c(=O)c1O)O,"InChI=1S/C16H12O7/c1-22-8-2-3-9(10(18)6-8)16-15(21)14(20)13-11(19)4-7(17)5-12(13)23-16/h2-6,17-19,21H,1H3",0.5721
IMPHY001002,"(1R,2S,3S,4S,6R,10S,11S,13S,14S)-3,7,10-Trimethyl-11-propan-2-yl-15-oxapentacyclo[7.5.1.02,6.07,13.010,14]pentadecane-4,6,9,14-tetrol",O[C@H]1C[C@]2([C@@H]([C@@H]1C)[C@H]1OC3(CC2(C)[C@H]2[C@]1(O)[C@@]3([C@@H](C2)C(C)C)C)O)O,"InChI=1S/C20H32O5/c1-9(2)11-6-13-16(4)8-19(23)17(11,5)20(13,24)15(25-19)14-10(3)12(21)7-18(14,16)22/h9-15,21-24H,6-8H2,1-5H3/t10-,11+,12+,13+,14+,15-,16?,17-,18-,19?,20-/m1/s1",0.5707
IMPHY009598,Pteroside B,OC[C@H]1O[C@@H](OCCc2c(C)cc3c(c2C)C(=O)[C@@H](C3)C)[C@@H]([C@H]([C@@H]1O)O)O,"InChI=1S/C20H28O7/c1-9-6-12-7-10(2)16(22)15(12)11(3)13(9)4-5-26-20-19(25)18(24)17(23)14(8-21)27-20/h6,10,14,17-21,23-25H,4-5,7-8H2,1-3H3/t10-,14-,17-,18+,19-,20-/m1/s1",0.5697
IMPHY003315,4'-Methyl-epigallocatechin,COc1c(O)cc(cc1O)[C@H]1Oc2cc(O)cc(c2C[C@H]1O)O,"InChI=1S/C16H16O7/c1-22-16-11(19)2-7(3-12(16)20)15-13(21)6-9-10(18)4-8(17)5-14(9)23-15/h2-5,13,15,17-21H,6H2,1H3/t13-,15-/m1/s1",0.5693
IMPHY005983,"3,4-Dihydroxyphenylacetic acid",OC(=O)Cc1ccc(c(c1)O)O,"InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",0.5685
IMPHY006061,Homogentisic acid,OC(=O)Cc1cc(O)ccc1O,"InChI=1S/C8H8O4/c9-6-1-2-7(10)5(3-6)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",0.5685
IMPHY008084,Gibberellin A20,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)CCC[C@@]2(C)C(=O)O3,"InChI=1S/C19H24O5/c1-10-8-17-9-18(10,23)7-4-11(17)19-6-3-5-16(2,15(22)24-19)13(19)12(17)14(20)21/h11-13,23H,1,3-9H2,2H3,(H,20,21)/t11-,12-,13-,16-,17+,18+,19-/m1/s1",0.5684
IMPHY001423,Laciniatin,COc1ccc(cc1O)c1oc2cc(O)c(c(c2c(=O)c1O)O)OC,"InChI=1S/C17H14O8/c1-23-10-4-3-7(5-8(10)18)16-15(22)13(20)12-11(25-16)6-9(19)17(24-2)14(12)21/h3-6,18-19,21-22H,1-2H3",0.5683
IMPHY004311,Spinacetin,COc1cc(ccc1O)c1oc2cc(O)c(c(c2c(=O)c1O)O)OC,"InChI=1S/C17H14O8/c1-23-10-5-7(3-4-8(10)18)16-15(22)13(20)12-11(25-16)6-9(19)17(24-2)14(12)21/h3-6,18-19,21-22H,1-2H3",0.5683
IMPHY005615,Syringetin,COc1cc(cc(c1O)OC)c1oc2cc(O)cc(c2c(=O)c1O)O,"InChI=1S/C17H14O8/c1-23-11-3-7(4-12(24-2)14(11)20)17-16(22)15(21)13-9(19)5-8(18)6-10(13)25-17/h3-6,18-20,22H,1-2H3",0.5683
